Designator,Mid X,Mid Y,Rotation,Layer
C1,84.0875,93.0,0.0,top
C10,126.9125,79.05,90.0,top
C11,50.865,96.05,90.0,top
C12,120.9125,79.05,90.0,top
C13,135.0,36.95,180.0,top
C14,61.365,96.05,90.0,top
C15,142.9125,99.5,90.0,top
C16,146.4125,87.5,0.0,top
C17,120.9125,102.45,270.0,top
C18,99.5,45.45,270.0,top
C19,113.0,45.45,270.0,top
C2,109.75,53.25,270.0,top
C20,127.4125,102.5,270.0,top
C21,117.4125,93.0,270.0,top
C22,130.4125,93.0,270.0,top
C23,31.73,35.9575,270.0,top
C24,61.225,44.9575,90.0,top
C25,167.0,112.0,270.0,top
C26,167.0,101.5,270.0,top
C27,46.05,54.0,0.0,top
C28,26.0,45.5875,0.0,top
C29,49.725,44.9575,270.0,top
C3,136.5,49.45,180.0,top
C30,153.0,24.45,270.0,top
C31,161.0,20.45,90.0,top
C32,89.5875,99.5,90.0,top
C33,132.5,45.45,90.0,top
C34,145.365,69.975,90.0,top
C35,42.865,100.05,90.0,top
C36,53.365,100.05,90.0,top
C37,142.9125,87.5,90.0,top
C38,170.525,8.095,180.0,top
C39,170.525,21.095,180.0,top
C4,103.4,32.3,90.0,top
C40,174.525,16.095,0.0,top
C41,174.525,29.095,0.0,top
C42,30.6,14.5,90.0,top
C43,24.8,23.1,180.0,top
C44,74.45,91.3,90.0,top
C45,66.4,95.7,270.0,top
C5,97.5875,95.5,90.0,top
C6,109.5,31.45,270.0,top
C7,140.5,41.45,90.0,top
C8,139.4125,87.5,180.0,top
C9,153.365,65.975,90.0,top
D1,35.0,49.9375,90.0,top
D2,40.85,48.0875,0.0,top
IC1,106.5,43.45,0.0,top
IC2,123.9675,91.025,0.0,top
J1,86.495,41.95,90.0,top
J10,81.98,49.06,0.0,top
J11,127.7,43.98,0.0,top
J12,87.06,49.06,0.0,top
J13,92.14,49.06,0.0,top
J14,127.7,38.9,0.0,top
J16,181.04,16.04,90.0,top
J17,181.04,28.74,90.0,top
J18,127.7,32.55,180.0,top
J19,188.66,102.4,180.0,top
